,address,price,gross_tax,strata_maintenance_fees,bedrooms,bathrooms,property_type,property_age,title,style,heating_type,feature,amenities,appliances,community,days_on_rew,property_views,mlsÂ®_number,source,frontage,lot_size,year_built,depth
0,3735 Puget Drive,5498800,19041,,3,4,house,,freehold nonstrata,2 storey w/bsmt.,,,"golf course nearby, recreation nearby",,arbutus,13 days,1491,r2735110,rebgv,57.00 feet,6954,35,122
22,2127 W 21st Avenue,4360000,15988,,7,5,house,,freehold nonstrata,3 storey,,,,,arbutus,88 days,601,r2689450,rebgv,50.00 feet,6100,33,122
23,2268 W 19th Avenue,6880000,23147,,5,8,house,,freehold nonstrata,2 storey w/bsmt.,"heat recovery ventilator, hot water,natural gas,radiant","drapes/window coverings, heat recovery ventilator, vacuum - built in, vaulted ceiling","air conditioning, central air conditioning, sauna",washer/dryer/fridge/stove/dishwasher,arbutus,88 days,540,r2682157,rebgv,50.00 feet,6104,5,122
24,3894 Quesnel Drive,5888000,12189,,3,4,house,,freehold nonstrata,3 storey,forced air,drapes/window coverings,,washer/dryer/fridge/stove/dishwasher,arbutus,88 days,284,r2654152,rebgv,44.00 feet,4100,89,93.2
26,2690 W 21st Avenue,4299000,14265,,7,6,house,,freehold nonstrata,"2 storey w/bsmt.,corner unit","baseboard,radiant","drapes/window coverings, garage door opener, intercom, security system","recreation nearby, sauna, shopping nearby","disposal - waste, in suite laundry, washer/dryer/fridge/stove/dishwasher",arbutus,231 days,1440,r2669524,rebgv,60.00 feet,7320,28,122
27,4422 Quesnel Drive,8850000,24525,,5,7,house,,freehold nonstrata,3 storey w/bsmt,"heat recovery ventilator, electric","drapes/window coverings, garden, heat recovery ventilator, security system, smoke alarm, sprinkler - fire, vacuum - built in","air conditioning, recreation nearby, shopping nearby","microwave, washer/dryer/fridge/stove/dishwasher, wine cooler",arbutus,245 days,2652,r2664426,rebgv,49.50 feet,6435,5,130
28,3409 Arbutus Street,2365000,7074,,5,2,house,,freehold nonstrata,2 storey,"hot water,radiant",,"recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,arbutus,5 days,707,r2737704,rebgv,57.00 feet,3363,92,59
29,2811 Oliver Crescent,3888000,11481,,9,8,house,,freehold nonstrata,"2 storey w/bsmt.,laneway house","heat recovery ventilator, hot water,natural gas,radiant","drapes/window coverings, garage door opener, heat recovery ventilator, security system, sprinkler - inground, vacuum - built in","air conditioning, recreation nearby, shopping nearby","microwave, washer/dryer/fridge/stove/dishwasher",arbutus,10 days,308,r2736441,rebgv,38.08 feet,5320,4,126/146
30,2236 W 20th Avenue,4680000,15815,,6,7,house,,freehold nonstrata,2 storey w/bsmt.,radiant,garden,central air conditioning,in suite laundry,arbutus,10 days,222,r2735876,rebgv,50.00 feet,6100,26,122.00
31,3347 Trutch Street,3190000,10757,,3,3,house,,freehold nonstrata,rancher/bungalow w/bsmt.,"baseboard,hot water",vacuum - built in,"air conditioning, central air conditioning","in suite laundry, washer/dryer/fridge/stove/dishwasher",arbutus,20 days,809,r2734831,rebgv,48.00 feet,5760,70,120
33,3229 Trutch Street,6800000,23411,,9,10,house,,freehold nonstrata,2 storey w/bsmt.,"natural gas,radiant","pantry, smoke alarm, sprinkler - fire, vacuum - roughed in, wet bar","air conditioning, recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,arbutus,25 days,317,r2732958,rebgv,45.00 feet,8500,2,190
34,2376 W 22nd Avenue,4680000,16684,,7,5,house,,freehold nonstrata,"2 storey w/bsmt.,split entry",,,,,arbutus,32 days,360,r2730592,rebgv,51.00 feet,6200,20,122
35,2718 W 19th Avenue,3380000,10097,,10,5,house,,freehold nonstrata,2 storey,"baseboard,electric","drapes/window coverings, fireplace insert, garden, oven - built in, pantry",,"freezer, microwave, refrigerator, stove, washer/dryer/fridge/stove/dishwasher",arbutus,33 days,376,r2730495,rebgv,42.55 feet,5124,41,122
36,2638 W 20th Avenue,3880000,12648,,6,5,house,,freehold nonstrata,2 storey w/bsmt.,"hot water,natural gas,radiant","drapes/window coverings, jetted bathtub, oven - built in, security - roughed in, security system, vacuum - roughed in",air conditioning,"clothes washer/dryer, microwave, washer/dryer/fridge/stove/dishwasher",arbutus,39 days,222,r2729436,rebgv,50.00 feet,6100,33,122
37,2885 W 20th Avenue,3480000,9246,,4,4,house,,freehold nonstrata,2 storey w/bsmt.,forced air,"drapes/window coverings, garage door opener",recreation nearby,washer/dryer/fridge/stove/dishwasher,arbutus,42 days,183,r2728158,rebgv,41.00 feet,5004,81,122.05
